fishery,Landing_Year,Port,Section,Sample_Date,Species_Code,Length,Total_Fish
CF,2017,Kodiak,Afognak,1/6/2017,142,39,4
CF,2017,Kodiak,Afognak,1/6/2017,142,40,6
CF,2017,Kodiak,Afognak,1/6/2017,142,41,2
CF,2017,Kodiak,Afognak,1/6/2017,142,42,5
CF,2017,Kodiak,Afognak,1/6/2017,142,43,2
CF,2017,Kodiak,Afognak,1/6/2017,142,44,5
CF,2017,Kodiak,Afognak,1/6/2017,142,45,1
CF,2017,Kodiak,Afognak,1/6/2017,142,47,2
CF,2017,Kodiak,Afognak,1/6/2017,142,48,3
CF,2017,Kodiak,Afognak,1/6/2017,142,49,3
CF,2017,Kodiak,Afognak,1/6/2017,142,50,6
CF,2017,Kodiak,Afognak,1/6/2017,142,51,3
CF,2017,Kodiak,Afognak,1/6/2017,142,52,12
CF,2017,Kodiak,Afognak,1/6/2017,142,53,14
CF,2017,Kodiak,Afognak,1/6/2017,142,54,10
CF,2017,Kodiak,Afognak,1/6/2017,142,55,11
CF,2017,Kodiak,Afognak,1/6/2017,142,56,3
CF,2017,Kodiak,Afognak,1/6/2017,142,57,6
CF,2017,Kodiak,Afognak,1/6/2017,142,58,1
CF,2017,Kodiak,Afognak,1/6/2017,142,60,1
CF,2019,AK,Afognak,1/29/2019,142,33,1
CF,2019,AK,Afognak,1/29/2019,142,35,1
CF,2019,AK,Afognak,1/29/2019,142,36,2
CF,2019,AK,Afognak,1/29/2019,142,37,2
CF,2019,AK,Afognak,1/29/2019,142,38,5
CF,2019,AK,Afognak,1/29/2019,142,39,2
CF,2019,AK,Afognak,1/29/2019,142,42,1
CF,2019,AK,Afognak,1/29/2019,142,43,1
CF,2019,AK,Afognak,1/29/2019,142,45,3
CF,2019,AK,Afognak,1/29/2019,142,46,4
CF,2019,AK,Afognak,1/29/2019,142,47,10
CF,2019,AK,Afognak,1/29/2019,142,48,9
CF,2019,AK,Afognak,1/29/2019,142,49,7
CF,2019,AK,Afognak,1/29/2019,142,50,10
CF,2019,AK,Afognak,1/29/2019,142,51,8
CF,2019,AK,Afognak,1/29/2019,142,52,9
CF,2019,AK,Afognak,1/29/2019,142,53,4
CF,2019,AK,Afognak,1/29/2019,142,54,8
CF,2019,AK,Afognak,1/29/2019,142,55,9
CF,2019,AK,Afognak,1/29/2019,142,56,2
CF,2019,AK,Afognak,1/29/2019,142,58,2
